1721,542,1614518323.7470744,dn
1721,542,1614518323.8550746,up
1721,542,1614518324.4020739,su
1721,542,1614518324.4310734,su
1721,542,1614518324.4510736,su
1722,542,1614518324.4700747,su
1722,543,1614518324.4850745,su
1722,543,1614518324.5090744,su
1723,543,1614518324.5590742,su
1723,544,1614518324.8410735,su
1723,544,1614518324.8540735,su
1723,544,1614518324.8670743,su
1723,544,1614518324.881074,su
1723,544,1614518324.904074,su
1723,544,1614518324.9560738,su
1723,544,1614518325.2210734,su
1723,544,1614518325.2360744,su
1723,544,1614518325.2540736,su
1723,544,1614518325.2830734,su
1809,366,1614518326.2450743,dn
1809,366,1614518326.3480744,up
478,512,1614518328.6260746,dn
478,512,1614518328.7200737,up
1630,206,1614518330.037074,dn
1630,206,1614518330.1090748,up
487,520,1614518331.3630743,dn
487,520,1614518331.430075,up
1534,757,1614518332.5430748,dn
1534,757,1614518332.6070752,up
1534,757,1614518332.8930745,dn
1534,757,1614518332.980074,up
1534,757,1614518333.2870739,dn
1534,757,1614518333.3630743,up
1535,660,1614518334.0480752,dn
1535,660,1614518334.122075,up
1534,660,1614518334.4890745,dn
1534,660,1614518334.5620744,up
1034,617,1614518335.3670745,dn
1034,617,1614518335.453074,up
