1795,397,1614518530.584903,dn
1795,397,1614518530.6729038,up
1788,495,1614518531.253231,sd
1787,499,1614518531.270231,sd
1787,501,1614518531.285231,sd
1787,503,1614518531.3042305,sd
1787,507,1614518531.581231,sd
1787,507,1614518531.5992312,sd
1787,507,1614518531.6112316,sd
1787,507,1614518531.625231,sd
1787,507,1614518531.642231,sd
1787,507,1614518531.9162304,sd
1787,507,1614518531.937231,sd
1787,507,1614518531.9532306,sd
1787,507,1614518531.966239,sd
1787,507,1614518531.9812393,sd
1787,507,1614518532.2632,sd
1787,507,1614518532.2931998,sd
1787,507,1614518532.366201,sd
1808,368,1614518533.7201374,dn
1808,368,1614518533.8151364,up
374,540,1614518536.4091227,dn
374,540,1614518536.492123,up
1580,222,1614518537.2231312,dn
1580,222,1614518537.27713,up
