1853,227,1616068332.1527627,dn
1853,227,1616068332.22272,up
375,558,1616068333.4656916,dn
375,558,1616068333.543705,up
1610,212,1616068334.3737612,dn
1610,212,1616068334.4507153,up
1752,431,1616068336.2477405,sd
1752,431,1616068336.3317401,sd
1751,432,1616068336.3857398,sd
1751,432,1616068336.45274,sd
1727,505,1616068339.0953653,dn
1727,505,1616068339.160369,up
1114,428,1616068341.4647593,dn
1114,428,1616068341.516762,up
1601,210,1616068342.0416253,dn
1601,210,1616068342.1086352,up
1694,549,1616068343.2477038,sd
1694,549,1616068343.3067052,sd
1694,549,1616068343.3557515,sd
1694,549,1616068343.393351,sd
1694,549,1616068343.9216564,sd
1694,549,1616068344.0366592,sd
1694,549,1616068344.1276593,sd
1710,498,1616068345.4687214,dn
1710,498,1616068345.5277207,up
552,482,1616068346.6516228,dn
552,482,1616068346.724658,up
1576,191,1616068347.7557318,dn
1576,191,1616068347.842733,up
