863,513,1616068806.3357801,dn
863,513,1616068806.450687,up
1748,512,1616068807.5035248,sd
1748,512,1616068807.618527,sd
1748,512,1616068808.2817621,sd
1748,512,1616068808.357762,sd
1748,512,1616068808.4655855,sd
1748,512,1616068808.6296878,sd
1748,512,1616068809.6257627,sd
1854,507,1616068810.5336888,dn
1854,507,1616068810.6096926,up
985,324,1616068812.0257442,dn
985,324,1616068812.131745,up
1587,204,1616068812.6576092,dn
1587,204,1616068812.723613,up
986,321,1616068813.843544,dn
986,321,1616068813.9155426,up
314,488,1616068814.8677597,dn
314,488,1616068814.9679227,up
314,488,1616068815.3007603,dn
314,488,1616068815.3732696,up
316,488,1616068815.7997656,dn
316,488,1616068815.8816886,up
358,771,1616068818.0469346,dn
357,771,1616068818.1316912,up
870,675,1616068818.9047582,dn
872,674,1616068819.012764,up
